,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.758694109297374,0.5070671378091873,0.8247126436781609,0.6280087527352297,0.8596111345835095
Random Forest,0.7863733144073811,0.5597964376590331,0.632183908045977,0.5937921727395412,0.839855048912867
XGBoost,0.7799858055358411,0.5414847161572053,0.7126436781609196,0.6153846153846154,0.8580023725177939
SVM,0.7686302342086586,0.5232067510548524,0.7126436781609196,0.6034063260340633,0.818643223157507
